year,race_label,educa_code,educa_label,diabetes_prevalence_pct,n
2019,AIAN NH,1,Never attended school,0.0,1
2019,AIAN NH,2,Elementary (Grades 1–8),18.14,210
2019,AIAN NH,3,Some high school,21.0,687
2019,AIAN NH,4,High school graduate,12.93,2163
2019,AIAN NH,5,Some college/tech school,18.15,2022
2019,AIAN NH,6,College graduate,15.46,1442
2019,Asian NH,1,Never attended school,30.21,11
2019,Asian NH,2,Elementary (Grades 1–8),24.0,91
2019,Asian NH,3,Some high school,9.17,180
2019,Asian NH,4,High school graduate,9.38,1617
2019,Asian NH,5,Some college/tech school,8.2,1895
2019,Asian NH,6,College graduate,6.56,5306
2019,Black NH,1,Never attended school,5.78,24
2019,Black NH,2,Elementary (Grades 1–8),30.21,693
2019,Black NH,3,Some high school,22.45,2604
2019,Black NH,4,High school graduate,15.34,9914
2019,Black NH,5,Some college/tech school,13.15,8869
2019,Black NH,6,College graduate,11.51,9135
2019,Hispanic,1,Never attended school,23.62,441
2019,Hispanic,2,Elementary (Grades 1–8),21.21,5207
2019,Hispanic,3,Some high school,14.09,4036
2019,Hispanic,4,High school graduate,9.24,10397
2019,Hispanic,5,Some college/tech school,9.14,8435
2019,Hispanic,6,College graduate,7.41,8597
2019,Multiracial NH,1,Never attended school,7.64,5
2019,Multiracial NH,2,Elementary (Grades 1–8),39.06,121
2019,Multiracial NH,3,Some high school,15.1,458
2019,Multiracial NH,4,High school graduate,10.7,2298
2019,Multiracial NH,5,Some college/tech school,11.67,2838
2019,Multiracial NH,6,College graduate,8.56,2637
2019,NHPI NH,1,Never attended school,49.06,4
2019,NHPI NH,2,Elementary (Grades 1–8),41.7,24
2019,NHPI NH,3,Some high school,20.86,146
2019,NHPI NH,4,High school graduate,14.5,991
2019,NHPI NH,5,Some college/tech school,8.49,627
2019,NHPI NH,6,College graduate,6.7,574
2019,Other NH,1,Never attended school,17.58,11
2019,Other NH,2,Elementary (Grades 1–8),29.25,78
2019,Other NH,3,Some high school,12.65,141
2019,Other NH,4,High school graduate,13.58,793
2019,Other NH,5,Some college/tech school,13.09,920
2019,Other NH,6,College graduate,10.74,1234
2019,White NH,1,Never attended school,12.26,92
2019,White NH,2,Elementary (Grades 1–8),20.03,3203
2019,White NH,3,Some high school,14.76,10747
2019,White NH,4,High school graduate,12.09,81504
2019,White NH,5,Some college/tech school,10.72,88510
2019,White NH,6,College graduate,7.02,125499
2020,AIAN NH,1,Never attended school,9.23,12
2020,AIAN NH,2,Elementary (Grades 1–8),28.3,183
2020,AIAN NH,3,Some high school,17.21,654
2020,AIAN NH,4,High school graduate,11.45,2335
2020,AIAN NH,5,Some college/tech school,14.75,2137
2020,AIAN NH,6,College graduate,12.23,1434
2020,Asian NH,1,Never attended school,2.3,7
2020,Asian NH,2,Elementary (Grades 1–8),13.77,96
2020,Asian NH,3,Some high school,8.76,168
2020,Asian NH,4,High school graduate,8.21,1653
2020,Asian NH,5,Some college/tech school,6.95,2065
2020,Asian NH,6,College graduate,5.81,6051
2020,Black NH,1,Never attended school,31.22,38
2020,Black NH,2,Elementary (Grades 1–8),29.09,510
2020,Black NH,3,Some high school,21.66,2339
2020,Black NH,4,High school graduate,16.3,9285
2020,Black NH,5,Some college/tech school,15.09,8572
2020,Black NH,6,College graduate,10.83,9196
2020,Hispanic,1,Never attended school,14.04,372
2020,Hispanic,2,Elementary (Grades 1–8),21.7,4164
2020,Hispanic,3,Some high school,14.75,3561
2020,Hispanic,4,High school graduate,9.44,10526
2020,Hispanic,5,Some college/tech school,9.71,8570
2020,Hispanic,6,College graduate,6.84,8841
2020,Multiracial NH,1,Never attended school,100.0,3
2020,Multiracial NH,2,Elementary (Grades 1–8),15.41,92
2020,Multiracial NH,3,Some high school,18.39,432
2020,Multiracial NH,4,High school graduate,9.18,2259
2020,Multiracial NH,5,Some college/tech school,11.29,2771
2020,Multiracial NH,6,College graduate,6.28,2719
2020,NHPI NH,1,Never attended school,0.0,3
2020,NHPI NH,2,Elementary (Grades 1–8),33.72,30
2020,NHPI NH,3,Some high school,18.21,106
2020,NHPI NH,4,High school graduate,8.16,795
2020,NHPI NH,5,Some college/tech school,16.69,533
2020,NHPI NH,6,College graduate,5.57,530
2020,Other NH,1,Never attended school,1.1,9
