year,race_code,race_label,hyp_prevalence_pct,n
2019,1,White NH,34.46,309735
2019,2,Black NH,41.1,31341
2019,3,AIAN NH,36.97,6548
2019,4,Asian NH,19.58,9148
2019,5,NHPI NH,28.36,2376
2019,6,Other NH,32.08,3200
2019,7,Multiracial NH,30.92,8366
2019,8,Hispanic,24.34,37255
2020,1,White NH,,0
2020,2,Black NH,,0
2020,3,AIAN NH,,0
2020,4,Asian NH,,0
2020,5,NHPI NH,,0
2020,6,Other NH,,0
2020,7,Multiracial NH,,0
2020,8,Hispanic,,0
2021,1,White NH,34.53,321544
2021,2,Black NH,42.81,32677
2021,3,AIAN NH,38.44,7236
2021,4,Asian NH,19.38,11371
2021,5,NHPI NH,27.01,1985
2021,6,Other NH,32.59,3909
2021,7,Multiracial NH,30.37,9185
2021,8,Hispanic,24.41,38241
2022,1,White NH,,0
2022,2,Black NH,,0
2022,3,AIAN NH,,0
2022,4,Asian NH,,0
2022,5,NHPI NH,,0
2022,7,Multiracial NH,,0
2022,8,Hispanic,,0
2023,1,White NH,36.47,311920
2023,2,Black NH,43.8,32797
2023,3,AIAN NH,36.02,6766
2023,4,Asian NH,22.84,12055
2023,5,NHPI NH,26.95,2092
2023,6,Other NH,35.21,3328
2023,7,Multiracial NH,30.45,10058
2023,8,Hispanic,27.08,43078
