state,year,total_respondents,race_missing_n,race_missing_pct
Alabama,2019,7052,105,1.49
Alabama,2020,5341,78,1.46
Alabama,2021,4586,57,1.24
Alabama,2022,4506,80,1.78
Alabama,2023,4362,59,1.35
Alaska,2019,2977,77,2.59
Alaska,2020,3675,97,2.64
Alaska,2021,5493,198,3.6
Alaska,2022,5865,239,4.08
Alaska,2023,5525,136,2.46
Arizona,2019,8941,222,2.48
Arizona,2020,10291,302,2.93
Arizona,2021,10654,274,2.57
Arizona,2022,10185,391,3.84
Arizona,2023,12036,322,2.68
Arkansas,2019,5359,111,2.07
Arkansas,2020,5244,108,2.06
Arkansas,2021,5372,131,2.44
Arkansas,2022,5309,158,2.98
Arkansas,2023,5351,119,2.22
California,2019,11613,325,2.8
California,2020,4798,98,2.04
California,2021,6735,127,1.89
California,2022,10952,539,4.92
California,2023,11976,320,2.67
Colorado,2019,9317,310,3.33
Colorado,2020,10184,372,3.65
Colorado,2021,10476,393,3.75
Colorado,2022,9365,412,4.4
Colorado,2023,8783,248,2.82
Connecticut,2019,9163,231,2.52
Connecticut,2020,8982,271,3.02
Connecticut,2021,8341,242,2.9
Connecticut,2022,9784,378,3.86
Connecticut,2023,9501,233,2.45
DC,2019,2624,75,2.86
DC,2020,3428,85,2.48
DC,2021,3198,96,3.0
DC,2022,3237,122,3.77
DC,2023,3207,63,1.96
Delaware,2019,3897,97,2.49
Delaware,2020,4025,89,2.21
Delaware,2021,3640,85,2.34
Delaware,2022,3987,105,2.63
Delaware,2023,4282,94,2.2
Florida,2019,16959,425,2.51
Florida,2020,11799,215,1.82
Florida,2022,13393,433,3.23
Florida,2023,13255,332,2.5
Georgia,2019,7354,174,2.37
Georgia,2020,9090,204,2.24
Georgia,2021,8186,223,2.72
Georgia,2022,9236,301,3.26
Georgia,2023,8227,172,2.09
Guam,2019,2426,34,1.4
Guam,2020,2183,36,1.65
Guam,2021,1658,32,1.93
Guam,2022,2266,40,1.77
Guam,2023,1559,26,1.67
Hawaii,2019,7684,107,1.39
Hawaii,2020,7754,101,1.3
Hawaii,2021,7787,136,1.75
Hawaii,2022,7747,131,1.69
Hawaii,2023,7832,115,1.47
Idaho,2019,5474,137,2.5
Idaho,2020,5986,183,3.06
Idaho,2021,6788,213,3.14
Idaho,2022,6280,210,3.34
Idaho,2023,6895,131,1.9
Illinois,2019,5512,60,1.09
Illinois,2020,3687,65,1.76
Illinois,2021,3210,87,2.71
